reference,translation,metric,score
"“El déficit de infraestructura apunta a casi 600 millones de dólares.
","“Como gremio de bienes permanentemente se sumaron millones de dólares.
",chrf,33.362383457890154
"“El déficit de infraestructura apunta a casi 600 millones de dólares.
","“Como gremio de bienes permanentemente se sumaron millones de dólares.
",sacrebleu,22.652581507881553
"Para tener una solución integral hay que invertir US$ 6 millones en un proceso de 6 años”, reconoció el ministro.
","Con pesar de los conductores rondar US$ 6 millones en el 6 años”, afirmó el ministro.
",chrf,38.527022759342586
"Para tener una solución integral hay que invertir US$ 6 millones en un proceso de 6 años”, reconoció el ministro.
","Con pesar de los conductores rondar US$ 6 millones en el 6 años”, afirmó el ministro.
",sacrebleu,25.821926374402146
"Al señalársele que el gran déficit hace pensar que no se hicieron las tareas durante los casi cinco años de gobierno, el jefe de la cartera enfatizó que se han realizado “importantes esfuerzos de mejoramiento integral de casi 1.000 instituciones”.
","Cabe recordar que de acuerdo a cientos de trabajo de jóvenes, el presidente de la República, presentó durante la presentación de “Lasscionesones de derecho para la protección de las personas.
",chrf,23.91453175783881
"Al señalársele que el gran déficit hace pensar que no se hicieron las tareas durante los casi cinco años de gobierno, el jefe de la cartera enfatizó que se han realizado “importantes esfuerzos de mejoramiento integral de casi 1.000 instituciones”.
","Cabe recordar que de acuerdo a cientos de trabajo de jóvenes, el presidente de la República, presentó durante la presentación de “Lasscionesones de derecho para la protección de las personas.
",sacrebleu,3.1142430732710427
"Como alternativa para una eventual solución al grave estado de numerosas escuelas, el ministro informó que charló con el presidente sobre la idea de plantear modelos arquitectónicos más prácticos en la próxima convocatoria, para que las aulas estén culminadas mucho más rápido.
","El ministro indicó que además de los kits de inicio se manifestaron, por lo que el ministro enfatizó que existe una serie de ofrecer el tratamiento de los principios.
",chrf,21.587447630798195
"Como alternativa para una eventual solución al grave estado de numerosas escuelas, el ministro informó que charló con el presidente sobre la idea de plantear modelos arquitectónicos más prácticos en la próxima convocatoria, para que las aulas estén culminadas mucho más rápido.
","El ministro indicó que además de los kits de inicio se manifestaron, por lo que el ministro enfatizó que existe una serie de ofrecer el tratamiento de los principios.
",sacrebleu,2.2834145652922024
"“La idea es explorar otras alternativas que nos permitan llegar más rápido a brindar respuestas a los estudiantes”.
","“Tenemos que hablaron de manera directa y se animena la forma de respetos para aumentar los problemas de los compatriotas”.
",chrf,23.475534927929722
"“La idea es explorar otras alternativas que nos permitan llegar más rápido a brindar respuestas a los estudiantes”.
","“Tenemos que hablaron de manera directa y se animena la forma de respetos para aumentar los problemas de los compatriotas”.
",sacrebleu,2.3901021968803136
"Con respecto a los kits escolares, Aguilera anunció que para el primer día de clases llegarán al 90% de las instituciones.
","Monseñor Pese contra el matrimonioes a los kits de octubre, los directoress de este viernes se harán en el mes de agosto.
",chrf,23.66656536774055
"Con respecto a los kits escolares, Aguilera anunció que para el primer día de clases llegarán al 90% de las instituciones.
","Monseñor Pese contra el matrimonioes a los kits de octubre, los directoress de este viernes se harán en el mes de agosto.
",sacrebleu,7.483887206915211
"“Tenemos un retraso del 10%. Estimamos que el 27 estaríamos completando la entrega a todas las instituciones educativas”.
","“Tenemos que ver los órganos comunes, que serán registrados durante un acuerdo de las personas que rigen su destino”.
",chrf,26.97468361526746
"“Tenemos un retraso del 10%. Estimamos que el 27 estaríamos completando la entrega a todas las instituciones educativas”.
","“Tenemos que ver los órganos comunes, que serán registrados durante un acuerdo de las personas que rigen su destino”.
",sacrebleu,2.7156804039319287
"Como una forma de justificar el retraso, el ministro agregó que en la primera semana de clases “no se utilizan todos los útiles porque son días para la integración”.
","No obstante, Hacienda busca que, tras la reunión, manifestó que en horas de la visita al acta “fue un nuevo resultado del conteo, y hay un recorrido para pagar”.
",chrf,23.97493527390109
