reference,translation,metric,score
Expulsar,deficiencia,classic,0.0
Expulsar,deficiencia,one-gram,0.0
Expulsar,deficiencia,sacrebleu,0.0
"A pesar de su nombre, en Snake River no hay serpientes; se llama así por su forma de S.","Sin embargo, no le “encantaría no ser esperar sin embargo, la carne paraguaya o por ""vendido"".",classic,8.980605341426996e-232
"A pesar de su nombre, en Snake River no hay serpientes; se llama así por su forma de S.","Sin embargo, no le “encantaría no ser esperar sin embargo, la carne paraguaya o por ""vendido"".",one-gram,0.00020239968705576194
"A pesar de su nombre, en Snake River no hay serpientes; se llama así por su forma de S.","Sin embargo, no le “encantaría no ser esperar sin embargo, la carne paraguaya o por ""vendido"".",sacrebleu,2.448896697858474
"Cartistas insisten en que la banca le corresponde a la Asociación Nacional Republicana (ANR), específicamente a su correligionario Ramón Retamozo.","Tras su discurso en el Partido Liberal Radical Auténtico (PLRA), anunció que el acuerdo fue presentado en la Cámara Baja.",classic,1.2183324802375697e-231
"Cartistas insisten en que la banca le corresponde a la Asociación Nacional Republicana (ANR), específicamente a su correligionario Ramón Retamozo.","Tras su discurso en el Partido Liberal Radical Auténtico (PLRA), anunció que el acuerdo fue presentado en la Cámara Baja.",one-gram,0.0016000000000000005
"Cartistas insisten en que la banca le corresponde a la Asociación Nacional Republicana (ANR), específicamente a su correligionario Ramón Retamozo.","Tras su discurso en el Partido Liberal Radical Auténtico (PLRA), anunció que el acuerdo fue presentado en la Cámara Baja.",sacrebleu,4.449945957170704
Estudiantes de la Universidad Nacional de Pilar (UNP) de la filial de Ayolas viajarán mañana viernes con destino a Pilar para llevar donaciones para las familias afectadas por las inundaciones.,Fue durante la reunión mantenida este lunes el viernes pasado por la Biblioteca y la Asociación Indigenista del Paraguay Raúl Gneiting.,classic,7.840473498051404e-232
Estudiantes de la Universidad Nacional de Pilar (UNP) de la filial de Ayolas viajarán mañana viernes con destino a Pilar para llevar donaciones para las familias afectadas por las inundaciones.,Fue durante la reunión mantenida este lunes el viernes pasado por la Biblioteca y la Asociación Indigenista del Paraguay Raúl Gneiting.,one-gram,0.0008575048396910248
